Sl,Catchment,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
90,C90,-0.70,0.88,4.52,8.74,11.90,14.42,15.18,14.70,12.96,8.46,3.82,0.94
91,C91,13.00,15.40,20.00,25.20,28.00,28.80,27.50,26.80,26.20,23.10,18.40,14.60
92,C92,-9.60,-8.40,-5.40,-1.50,2.10,5.50,6.90,6.50,4.60,-0.70,-5.50,-8.00
93,C93,-1.23,0.33,3.90,8.00,11.13,13.60,14.30,13.87,12.30,7.87,3.20,0.33
94,C94,13.00,15.40,20.00,25.20,28.00,28.80,27.50,26.80,26.20,23.10,18.40,14.60
95,C95,14.92,17.57,22.40,27.93,30.91,31.49,29.35,28.46,28.15,25.35,20.49,16.33
96,C96,16.15,19.12,24.20,29.75,32.65,32.92,30.20,29.25,29.40,26.88,21.93,17.58
97,C97,14.27,16.81,21.56,26.53,29.10,29.70,28.17,27.57,27.24,24.44,19.79,15.76
98,C98,16.06,18.89,23.86,29.09,31.81,32.10,29.94,29.27,29.24,26.69,21.83,17.49
99,C99,-9.60,-8.20,-5.20,-1.20,2.50,6.00,7.50,7.10,5.20,-0.20,-5.30,-7.90
100,C100,5.80,7.55,11.60,15.70,18.40,20.10,20.25,19.90,18.90,15.10,10.45,7.25
101,C101,-12.40,-11.10,-8.30,-4.30,-0.20,3.50,5.20,4.80,2.80,-2.90,-8.10,-10.70
102,C102,-15.50,-14.20,-11.60,-7.80,-3.60,0.60,2.50,2.10,-0.10,-6.00,-11.30,-13.80
103,C103,-15.60,-14.30,-11.60,-7.60,-3.20,1.00,2.90,2.40,0.30,-5.70,-11.20,-13.80
104,C104,4.44,6.30,10.12,14.22,17.42,19.56,20.00,19.72,18.62,14.52,9.46,5.96
105,C105,14.20,16.50,21.10,25.35,27.55,28.25,27.65,27.45,26.95,24.00,19.30,15.55
106,C106,15.61,18.20,22.86,27.53,29.96,30.47,29.31,29.03,28.84,26.21,21.37,17.17
108,C108,-12.10,-10.70,-7.80,-3.70,0.70,4.80,6.30,5.70,3.80,-1.80,-7.30,-10.20
109,C109,-6.65,-5.10,-2.00,2.15,6.15,9.75,10.90,10.40,8.80,3.80,-1.65,-4.75
110,C110,-8.40,-6.70,-3.70,0.50,4.80,8.70,9.80,9.40,7.60,2.30,-3.10,-6.30
111,C111,5.30,7.20,10.90,14.90,18.20,20.30,20.70,20.40,19.50,15.70,10.60,7.10
112,C112,7.60,9.55,13.30,17.10,19.90,21.55,21.60,21.50,20.90,17.90,13.20,9.60
113,C113,-10.30,-8.65,-5.75,-1.30,3.25,7.25,8.35,7.80,6.00,0.50,-5.45,-8.55
114,C114,-14.80,-13.50,-10.90,-6.70,-2.10,2.30,3.80,3.20,1.30,-4.50,-10.20,-12.90
115,C115,-13.75,-12.28,-9.53,-5.05,-0.42,4.08,5.72,5.05,2.95,-3.17,-9.05,-12.00
116,C116,-11.60,-10.00,-7.10,-2.55,2.20,6.55,7.85,7.20,5.25,-0.70,-6.70,-9.85
117,C117,-9.20,-7.50,-4.55,-0.25,4.20,8.35,9.50,8.90,7.15,1.70,-3.95,-7.15
118,C118,7.00,8.80,12.50,16.00,18.40,20.20,20.50,20.40,19.70,17.10,12.70,9.20
119,C119,-9.60,-8.10,-5.20,-0.90,3.35,7.35,8.45,7.90,6.20,1.00,-4.50,-7.55
120,C120,-1.00,0.65,4.00,7.75,11.05,13.95,14.60,14.35,13.10,9.35,4.50,1.20
121,C121,13.60,15.80,19.80,23.70,25.70,26.70,26.40,26.50,26.10,24.10,19.50,15.60
122,C122,15.52,17.95,22.28,26.48,28.34,28.89,28.32,28.38,28.10,26.14,21.48,17.34
123,C123,14.78,17.05,21.10,24.93,26.72,27.53,27.28,27.38,27.03,25.08,20.63,16.77
124,C124,16.90,19.10,23.15,26.85,28.30,29.05,28.80,28.90,28.55,26.70,22.40,18.60
125,C125,17.72,20.18,24.25,27.89,29.15,29.72,29.31,29.34,29.12,27.28,23.06,19.19
126,C126,17.70,20.30,24.50,28.40,29.70,30.10,29.40,29.40,29.20,27.40,23.10,19.10
127,C127,18.30,21.00,25.40,29.40,30.50,30.60,29.70,29.50,29.60,27.70,23.70,19.70
128,C128,-12.25,-10.70,-7.67,-3.45,0.60,4.84,7.16,6.71,3.95,-2.36,-7.92,-10.73
129,C129,-12.09,-10.49,-7.52,-3.16,1.39,5.75,7.67,7.01,4.69,-1.57,-7.36,-10.44
130,C130,-12.71,-10.93,-8.06,-3.20,1.69,6.33,7.78,6.99,4.88,-1.53,-7.94,-11.12
131,C131,-9.40,-7.40,-4.40,0.20,4.90,9.00,9.80,9.00,7.20,1.60,-4.50,-7.90
